As2+NbTe2_abcd2ae4ee5a0c7d+3a172789.vasp,0.0,0.5336,0.5336
As2+NbTe2_abcd2ae4ee5a0c7d+59b8523b.vasp,0.0,0.5278,0.5278
As2+NbTe2_abcd2ae4ee5a0c7d+81261849.vasp,0.0,0.7966,0.7966
As2+NiSe2_821e6d2c9bea4cfc+08a3065b.vasp,0.0,-0.6598,-0.6598
As2+NiSe2_821e6d2c9bea4cfc+2a2529ea.vasp,0.0,-0.2745,-0.2745
As2+NiSe2_821e6d2c9bea4cfc+34518bf6.vasp,0.0,-0.6722,-0.6722
As2+Pd4Se6Hg2_fc844e3a3a732200+1749bd93.vasp,0.0,-0.7108,-0.7108
As2+TiSe2_1a375394ad1b4312+570cc461.vasp,0.0,-0.7791,-0.7791
As2+TiSe2_1a375394ad1b4312+d5a500c9.vasp,0.0,-0.6962,-0.6962
As2+TiSe2_1a375394ad1b4312+f457a0dc.vasp,0.0,-0.7442,-0.7442
As2+TiSe2_1a375394ad1b4312+f9b8d424.vasp,0.0,-0.7803,-0.7803
As2S3+Bi2_29b33e59f6e7ba15+52966058.vasp,0.0,1.0575,1.0575
As2S3+Hf2Te6_0e2ac02cde1eb0ec+6c306715.vasp,0.0,1.577,1.577
As2S3+Hf2Te6_0e2ac02cde1eb0ec+b8564ec4.vasp,0.0,1.5838,1.5838
As2S3+NiTe2_a53fe4cdb6a87612+c9a0d2f3.vasp,0.0,1.619,1.619
As2S3+NiTe2_a53fe4cdb6a87612+f5d210af.vasp,0.0,1.6454,1.6454
As2S3+Zr2Te6_b8ab6b14830dc373+78e746d8.vasp,0.0,1.3962,1.3962
As2S3+Zr2Te6_b8ab6b14830dc373+e006f9bd.vasp,0.0,1.3935,1.3935
As4+Hf2Te6_420de5ac243abc5f+acdc6769.vasp,0.0,0.8211,0.8211
As4+NbSe2_e32f381a9d98e3ae+dc55cf69.vasp,0.0,-0.305,-0.305
As4+NbTe2_fe1a8f0f790bf7c2+0540e0f4.vasp,0.0,0.6435,0.6435
As4+NiTe2_9f9dd471d2e5b7ef+f7fd3bbb.vasp,0.0,0.6538,0.6538
As4+TaS2_4b5bc17f5b7708ec+000aaf9a.vasp,0.0,-0.5884,-0.5884
As4+TaSe2_11672507854fe13d+d0c6ea84.vasp,0.0,-0.6857,-0.6857
